SKU,Unit Price
110120344,$0.3535 / each
110120380,$0.9301 / each
110120345,$0.4271 / each
110120304,$0.1715 / each
110120346,$0.4810 / each
110120382,$1.1400 / each
110120302,$0.1342 / each
0115209,$1.2600 / each
0115311,$2.3100 / each
13105,$0.3200 / each
0115211,$1.5100 / each
0115105,$0.5034 / each
13209,$0.9412 / each
110120325,$0.2444 / each
15209,$1.2200 / each
15311,$2.3600 / each
13107,$0.4189 / each
0115109,$0.6407 / each
15107,$0.5629 / each
110120417,$1.9200 / each
70005,$0.2983 / each
70107,$0.7690 / each
70105,$0.7352 / each
0115313,$2.6300 / each
70003,$0.2716 / each
110120348,$0.6052 / each
1170105,$0.7360 / each
15211,$1.4700 / each
15105,$0.4838 / each
0115107,$0.5744 / each
110120384,$1.3600 / each
1170005,$0.3003 / each
13109,$0.4720 / each
0115005,$0.2245 / each
110120342,$0.2960 / each
13210,$1.0300 / each
1170003,$0.2721 / each
15313,$2.7400 / each
110120379,$0.8505 / each
110120419,$2.2700 / each
15109,$0.6224 / each
110120386,$1.5800 / each
110120350,$0.7680 / each
13211,$1.1900 / each
0115213,$1.7400 / each
0115315,$3.3500 / each
15210,$1.3600 / each
110120378,$0.7131 / each
110120323,$0.2121 / each
0115215,$2.4000 / each
15005,$0.2137 / each
110120421,$2.5500 / each
0115111,$0.8868 / each
70109,$0.9961 / each
110120300,$0.1176 / each
70055,$0.5095 / each
0115363,$4.6300 / each
70209,$2.0100 / each
15363,$4.8900 / each
15323,$4.4400 / each