product_id,site,sku,fastener_type,material,grade_or_alloy,diameter_mm,length_mm,manufacturer,first_seen_date,last_seen_date
Fastenal_110120344.0,Fastenal,110120344.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120380.0,Fastenal,110120380.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120345.0,Fastenal,110120345.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120304.0,Fastenal,110120304.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120346.0,Fastenal,110120346.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120382.0,Fastenal,110120382.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120302.0,Fastenal,110120302.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115209.0,Fastenal,115209.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115311.0,Fastenal,115311.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_13105.0,Fastenal,13105.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115211.0,Fastenal,115211.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115105.0,Fastenal,115105.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_13209.0,Fastenal,13209.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120325.0,Fastenal,110120325.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15209.0,Fastenal,15209.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15311.0,Fastenal,15311.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_13107.0,Fastenal,13107.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115109.0,Fastenal,115109.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15107.0,Fastenal,15107.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120417.0,Fastenal,110120417.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_70005.0,Fastenal,70005.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_70107.0,Fastenal,70107.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_70105.0,Fastenal,70105.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115313.0,Fastenal,115313.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_70003.0,Fastenal,70003.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120348.0,Fastenal,110120348.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_1170105.0,Fastenal,1170105.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15211.0,Fastenal,15211.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15105.0,Fastenal,15105.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115107.0,Fastenal,115107.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120384.0,Fastenal,110120384.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_1170005.0,Fastenal,1170005.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_13109.0,Fastenal,13109.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115005.0,Fastenal,115005.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120342.0,Fastenal,110120342.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_13210.0,Fastenal,13210.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_1170003.0,Fastenal,1170003.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15313.0,Fastenal,15313.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120379.0,Fastenal,110120379.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120419.0,Fastenal,110120419.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15109.0,Fastenal,15109.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120386.0,Fastenal,110120386.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120350.0,Fastenal,110120350.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_13211.0,Fastenal,13211.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115213.0,Fastenal,115213.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115315.0,Fastenal,115315.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15210.0,Fastenal,15210.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120378.0,Fastenal,110120378.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120323.0,Fastenal,110120323.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115215.0,Fastenal,115215.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15005.0,Fastenal,15005.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120421.0,Fastenal,110120421.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115111.0,Fastenal,115111.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_70109.0,Fastenal,70109.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_110120300.0,Fastenal,110120300.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_70055.0,Fastenal,70055.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_115363.0,Fastenal,115363.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_70209.0,Fastenal,70209.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15363.0,Fastenal,15363.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
Fastenal_15323.0,Fastenal,15323.0,hex bolt,steel,unknown,,,Fastenal.,2025-07-22,2025-07-22
